A528HN,LEVC,LFPG
A541EA,LEVC,LFPG
A551BQ,LEVC,LFPG
A57482,LEVC,LFPG
A584YF,LSZH,LFPG
A585BP,LEVC,LFPG
AA1137,KMCO,KDCA
AA1255,KMIA,KDCA
AA1347,KMIA,KSAV
AA2065,KCLT,KPHL
AA2608,KMIA,KCLT
AA2667,KJFK,KPHX
AA2694,KDFW,KLGA
AA2721,KORD,KLGA
AA2820,KMIA,KPIT
AA3198,KDFW,KLAS
AA322,KDFW,KSJC
AA3281,KPHX,KMSY
AA3317,KIND,KPHX
AA370,KORD,KSEA
AA475,KMIA,KPHX,KMIA
AA814,KDFW,KIAH
AA828,KDFW,KBUR
AAE107,ZSHC,UAIT
AAE113,LFOK,VHHH
AAE116,VHHH,OMDW
AAE124,OMDW,EBLG
AAE1717,KLAS,KMIA
AAL0,KORD,KDCA
AAL0314,KPHX,KAUS
AAL0348,MROC,KMIA
AAL0349,KMIA,KCLT
AAL0370,KPBI,KPHL
AAL0936,LSZH,KPHL
AAL0941,KBWI,KMIA
AAL1,KJFK,KLAX
AAL10,KLAX,KJFK
AAL1001,KDFW,MMUN
AAL1004,KBOS,KCLT
AAL1005,KPHL,KMIA
AAL1005,KSFO,KDFW
AAL100CB,KJFK,EGLL
AAL1013,KLGA,KRSW
AAL1014,MRLB,KDFW
AAL1014,KPHL,KORD
AAL1020,KDTW,KMIA
AAL1021,PHNL,KDFW
AAL1023,KPHX,KIND
AAL1024,KLAX,KMCO
AAL103,EGLL,KJFK
AAL1032,KMIA,KPHX
AAL1033,KORD,KBOS
AAL1036,KLGA,KCLT
AAL103C,EGLL,KJFK
AAL1040,KFLL,KCLT
AAL1042,KDFW,KMIA
AAL1042,KLAX,KORD
AAL1047,KJFK,KCLT
AAL1048,KMIA,KPHL
AAL1048,KABQ,KPHX
AAL1050,KALB,KCLT
AAL1051,KORD,KTPA
AAL1055,KSAN,KDFW
AAL1057,KBOS,KPHX
AAL1061,KDCA,KBDL
AAL1063,KPHL,KDEN
AAL1067,KLAX,KDFW
AAL1068,MMUN,KDFW
AAL1069,KLAS,KJFK
AAL1071,KSAN,KCLT
AAL1073,KBOS,KCLT
AAL1075,KMIA,KLGA
AAL1075,KLGA,KORD
AAL1083,KAUS,KPHX
AAL1083D,KAUS,KPHX
AAL1083E,KAUS,KPHX
AAL1094,KRSW,KCLT
AAL1096,KMIA,KCLT
AAL1097,KLGA,KTPA
AAL1097,KPHL,KORD
AAL1099,CYVR,KDFW
AAL1102,KSNA,KDFW
AAL1102,KMIA,KAUS
AAL1103,KLAX,KMIA
AAL1105,KMIA,KDCA
AAL1105,KPHL,KSRQ
AAL1107,KMIA,KSAN
AAL1109,KMIA,KIND
AAL1110,KLAX,KMIA
AAL1111,KMIA,KCLT
AAL1118,KLAX,KMCO
AAL1123,KCLT,KBDL
AAL1126,KMIA,LEBL
AAL1129D,KMIA,LEBL
AAL112FC,KMIA,LEBL
AAL1130,KMIA,KMCI
AAL1132,KPHL,MRLB
AAL1133,KDFW,KRIC
AAL1135,KCLT,KLAX
AAL1136,KMIA,KPHX
AAL1137,MMMX,KJFK
AAL1137,KDFW,KSNA
AAL1137,KJFK,KPHX
AAL1140,KCLT,KSNA
AAL1141,KPHL,KDFW
AAL1146,KSFO,KCLT
AAL1147,KSAN,KPHL
AAL1148,KBOS,KDFW,KBOS
AAL1155,KPHL,KMIA
AAL1158,KCLT,KPHX
